Código Município Completo;Nome_UF;Nome_Mesorregião;Nome_Microrregião;Nome_Município;Area_Municipio;;;;;
1301001;Amazonas;Sudoeste Amazonense;Juruá;Carauari;Área Rural;;;;;
1301100;Amazonas;Centro Amazonense;Manaus;Careiro;Área Rural;;;;;
1301159;Amazonas;Centro Amazonense;Manaus;Careiro da Várzea;Área Rural;;;;;
1301209;Amazonas;Centro Amazonense;Coari;Coari;Centro Urbano;;;;;
1301308;Amazonas;Centro Amazonense;Coari;Codajás;Área Rural;;;;;
1301407;Amazonas;Sudoeste Amazonense;Juruá;Eirunepé;Área Rural;;;;;
1301506;Amazonas;Sudoeste Amazonense;Juruá;Envira;Área Rural;;;;;
1301605;Amazonas;Sudoeste Amazonense;Alto Solimões;Fonte Boa;Área Rural;;;;;
1301654;Amazonas;Sudoeste Amazonense;Juruá;Guajará;Área Rural;;;;;
1301704;Amazonas;Sul Amazonense;Madeira;Humaitá;Área Rural;;;;;
1301803;Amazonas;Sudoeste Amazonense;Juruá;Ipixuna;Área Rural;;;;;
1301852;Amazonas;Centro Amazonense;Manaus;Iranduba;Área Rural;;;;;
1301902;Amazonas;Centro Amazonense;Itacoatiara;Itacoatiara;Centro Urbano;;;;;
1301951;Amazonas;Sudoeste Amazonense;Juruá;Itamarati;Área Rural;;;;;
1302009;Amazonas;Centro Amazonense;Itacoatiara;Itapiranga;Área Rural;;;;;
1302108;Amazonas;Norte Amazonense;Japurá;Japurá;Centro Urbano;;;;;
1302207;Amazonas;Sudoeste Amazonense;Juruá;Juruá;Centro Urbano;;;;;
1302306;Amazonas;Sudoeste Amazonense;Alto Solimões;Jutaí;Área Rural;;;;;
1302405;Amazonas;Sul Amazonense;Purus;Lábrea;Área Rural;;;;;
1302504;Amazonas;Centro Amazonense;Manaus;Manacapuru;Área Rural;;;;;
1302553;Amazonas;Centro Amazonense;Manaus;Manaquiri;Área Rural;;;;;
1302603;Amazonas;Centro Amazonense;Manaus;Manaus;Centro Urbano;;;;;
1302702;Amazonas;Sul Amazonense;Madeira;Manicoré;Área Rural;;;;;
1302801;Amazonas;Norte Amazonense;Japurá;Maraã;Área Rural;;;;;
1302900;Amazonas;Centro Amazonense;Parintins;Maués;Área Rural;;;;;
1303007;Amazonas;Centro Amazonense;Parintins;Nhamundá;Área Rural;;;;;
1303106;Amazonas;Centro Amazonense;Itacoatiara;Nova Olinda do Norte;Área Rural;;;;;
1303205;Amazonas;Norte Amazonense;Rio Negro;Novo Airão;Área Rural;;;;;
1303304;Amazonas;Sul Amazonense;Madeira;Novo Aripuanã;Área Rural;;;;;
1303403;Amazonas;Centro Amazonense;Parintins;Parintins;Centro Urbano;;;;;
1303502;Amazonas;Sul Amazonense;Boca do Acre;Pauini;Área Rural;;;;;
1303536;Amazonas;Centro Amazonense;Rio Preto da Eva;Presidente Figueiredo;Área Rural;;;;;
1303569;Amazonas;Centro Amazonense;Rio Preto da Eva;Rio Preto da Eva;Centro Urbano;;;;;
1303601;Amazonas;Norte Amazonense;Rio Negro;Santa Isabel do Rio Negro;Área Rural;;;;;
1303700;Amazonas;Sudoeste Amazonense;Alto Solimões;Santo Antônio do Içá;Área Rural;;;;;
1303809;Amazonas;Norte Amazonense;Rio Negro;São Gabriel da Cachoeira;Área Rural;;;;;
1303908;Amazonas;Sudoeste Amazonense;Alto Solimões;São Paulo de Olivença;Área Rural;;;;;
1303957;Amazonas;Centro Amazonense;Parintins;São Sebastião do Uatumã;Área Rural;;;;;
1304005;Amazonas;Centro Amazonense;Itacoatiara;Silves;Área Rural;;;;;
1304062;Amazonas;Sudoeste Amazonense;Alto Solimões;Tabatinga;Área Rural;;;;;
1304104;Amazonas;Sul Amazonense;Purus;Tapauá;Área Rural;;;;;
1304203;Amazonas;Centro Amazonense;Tefé;Tefé;Centro Urbano;;;;;
1304237;Amazonas;Sudoeste Amazonense;Alto Solimões;Tonantins;Área Rural;;;;;
1304260;Amazonas;Centro Amazonense;Tefé;Uarini;Área Rural;;;;;
1304302;Amazonas;Centro Amazonense;Parintins;Urucará;Área Rural;;;;;
1304401;Amazonas;Centro Amazonense;Itacoatiara;Urucurituba;Área Rural;;;;;
1400050;Roraima;Norte de Roraima;Boa Vista;Alto Alegre;Área Rural;;;;;
1400027;Roraima;Norte de Roraima;Boa Vista;Amajari;Área Rural;;;;;
1400100;Roraima;Norte de Roraima;Boa Vista;Boa Vista;Centro Urbano;;;;;
1400159;Roraima;Norte de Roraima;Nordeste de Roraima;Bonfim;Área Rural;;;;;
1400175;Roraima;Norte de Roraima;Nordeste de Roraima;Cantá;Área Rural;;;;;
1400209;Roraima;Sul de Roraima;Caracaraí;Caracaraí;Centro Urbano;;;;;
1400233;Roraima;Sul de Roraima;Sudeste de Roraima;Caroebe;Área Rural;;;;;
1400282;Roraima;Sul de Roraima;Caracaraí;Iracema;Área Rural;;;;;
1400308;Roraima;Sul de Roraima;Caracaraí;Mucajaí;Área Rural;;;;;
1400407;Roraima;Norte de Roraima;Nordeste de Roraima;Normandia;Área Rural;;;;;
1400456;Roraima;Norte de Roraima;Boa Vista;Pacaraima;Área Rural;;;;;
1400472;Roraima;Sul de Roraima;Sudeste de Roraima;Rorainópolis;Área Rural;;;;;
1400506;Roraima;Sul de Roraima;Sudeste de Roraima;São João da Baliza;Área Rural;;;;;
1400605;Roraima;Sul de Roraima;Sudeste de Roraima;São Luiz;Área Rural;;;;;
1400704;Roraima;Norte de Roraima;Nordeste de Roraima;Uiramutã;Área Rural;;;;;
1500107;Pará;Nordeste Paraense;Cametá;Abaetetuba;Área Rural;;;;;
1500131;Pará;Sudeste Paraense;Paragominas;Abel Figueiredo;Área Rural;;;;;
1500206;Pará;Nordeste Paraense;Tomé-Açu;Acará;Área Rural;;;;;
1500305;Pará;Marajó;Furos de Breves;Afuá;Área Rural;;;;;
1500347;Pará;Sudeste Paraense;Parauapebas;Água Azul do Norte;Área Rural;;;;;
1500404;Pará;Baixo Amazonas;Santarém;Alenquer;Área Rural;;;;;
1500503;Pará;Baixo Amazonas;Almeirim;Almeirim;Centro Urbano;;;;;
1500602;Pará;Sudoeste Paraense;Altamira;Altamira;Centro Urbano;;;;;
1500701;Pará;Marajó;Furos de Breves;Anajás;Área Rural;;;;;
1500800;Pará;Metropolitana de Belém;Belém;Ananindeua;Área Rural;;;;;
1500859;Pará;Sudoeste Paraense;Altamira;Anapu;Área Rural;;;;;
1500909;Pará;Nordeste Paraense;Bragantina;Augusto Corrêa;Área Rural;;;;;
